'21-10-2022 13:38:56 INFO | main | ...Leyendo el archivo...'
'21-10-2022 13:38:56 INFO | main | ...Archivo procesado...'
'21-10-2022 13:40:09 INFO | main | ...Leyendo el archivo...'
'21-10-2022 13:40:09 INFO | main | ...Archivo procesado...'
'21-10-2022 13:42:06 INFO | main | ...Leyendo el archivo...'
'21-10-2022 13:42:06 INFO | main | ...Archivo procesado...'
'21-10-2022 13:44:44 INFO | main | ...Leyendo el archivo...'
'21-10-2022 13:44:44 INFO | main | ...Archivo procesado...'
'21-10-2022 13:48:59 INFO | main | ...Leyendo el archivo...'
'21-10-2022 13:48:59 INFO | main | ...Archivo procesado...'
'21-10-2022 13:49:15 INFO | main | ...Leyendo el archivo...'
'21-10-2022 13:49:15 INFO | main | ...Archivo procesado...'
'21-10-2022 13:49:47 INFO | main | ...Leyendo el archivo...'
'21-10-2022 13:49:47 INFO | main | ...Archivo procesado...'
'21-10-2022 13:50:36 INFO | main | ...Leyendo el archivo...'
'21-10-2022 13:50:36 INFO | main | ...Archivo procesado...'
'21-10-2022 13:56:48 INFO | main | ...Leyendo el archivo...'
'21-10-2022 13:56:48 INFO | main | ...Archivo procesado...'
'21-10-2022 13:58:11 INFO | main | ...Leyendo el archivo...'
'21-10-2022 13:58:11 INFO | main | ...Archivo procesado...'
'21-10-2022 13:58:21 CRITICAL | main | ...No se puede abrir el archivo'
'21-10-2022 13:58:21 INFO | main | ...Archivo procesado...'
'21-10-2022 14:01:12 INFO | main | ...Leyendo el archivo...'
'21-10-2022 14:01:12 INFO | main | ...Archivo procesado...'
'21-10-2022 14:01:25 INFO | main | ...Leyendo el archivo...'
'21-10-2022 14:01:25 INFO | main | ...Archivo procesado...'
'21-10-2022 14:06:37 INFO | main | ...Archivo procesado...'
'21-10-2022 14:11:39 INFO | main | ...Archivo procesado...'
'21-10-2022 14:11:51 INFO | main | ...Leyendo el archivo...'
'21-10-2022 14:11:51 INFO | main | ...Archivo procesado...'
'21-10-2022 14:12:11 INFO | main | ...Leyendo el archivo...'
'21-10-2022 14:12:11 INFO | main | ...Archivo procesado...'
'21-10-2022 14:20:26 CRITICAL | main | ...No se puede abrir el archivo'
'21-10-2022 14:20:26 INFO | main | ...Archivo procesado...'
'21-10-2022 14:21:36 INFO | main | ...Leyendo el archivo...'
'21-10-2022 14:21:36 INFO | main | ...Archivo procesado...'
'21-10-2022 14:23:04 INFO | main | ...Leyendo el archivo...'
'21-10-2022 14:23:04 INFO | main | ...Archivo procesado...'
'21-10-2022 14:24:52 INFO | main | ...Leyendo el archivo...'
'21-10-2022 14:24:52 INFO | main | ...Archivo procesado...'
'21-10-2022 14:27:44 INFO | main | ...Leyendo el archivo...'
'21-10-2022 14:27:44 INFO | main | ...Archivo procesado...'
'21-10-2022 14:28:06 INFO | main | ...Leyendo el archivo...'
'21-10-2022 14:28:06 INFO | main | ...Archivo procesado...'
'21-10-2022 14:28:23 INFO | main | ...Leyendo el archivo...'
'21-10-2022 14:28:23 INFO | main | ...Archivo procesado...'
'21-10-2022 14:28:52 INFO | main | ...Leyendo el archivo...'
'21-10-2022 14:28:52 INFO | main | ...Archivo procesado...'
'21-10-2022 14:30:30 INFO | main | ...Leyendo el archivo...'
'21-10-2022 14:30:30 INFO | main | ...Archivo procesado...'
'21-10-2022 14:31:03 INFO | main | ...Archivo procesado...'
'21-10-2022 14:31:05 INFO | main | ...Archivo procesado...'
'21-10-2022 14:31:26 INFO | main | ...Leyendo el archivo...'
'21-10-2022 14:31:26 INFO | main | ...Archivo procesado...'
'21-10-2022 14:31:43 INFO | main | ...Leyendo el archivo...'
'21-10-2022 14:31:43 INFO | main | ...Archivo procesado...'
'21-10-2022 14:32:28 INFO | main | ...Leyendo el archivo...'
'21-10-2022 14:32:28 INFO | main | ...Archivo procesado...'
'21-10-2022 14:32:46 INFO | main | ...Leyendo el archivo...'
'21-10-2022 14:32:46 INFO | main | ...Archivo procesado...'
'21-10-2022 14:32:55 INFO | main | ...Leyendo el archivo...'
'21-10-2022 14:32:55 INFO | main | ...Archivo procesado...'
'21-10-2022 14:33:04 INFO | main | ...Leyendo el archivo...'
'21-10-2022 14:33:04 INFO | main | ...Archivo procesado...'
'21-10-2022 14:33:35 INFO | main | ...Leyendo el archivo...'
'21-10-2022 14:33:35 INFO | main | ...Archivo procesado...'
'21-10-2022 14:34:54 INFO | main | ...Leyendo el archivo...'
'21-10-2022 14:34:54 INFO | main | ...Archivo procesado...'
'21-10-2022 14:35:03 INFO | main | ...Leyendo el archivo...'
'21-10-2022 14:35:03 INFO | main | ...Archivo procesado...'
'21-10-2022 14:35:22 CRITICAL | main | ...No se puede abrir el archivo'
'21-10-2022 14:35:22 INFO | main | ...Archivo procesado...'
'21-10-2022 14:36:37 INFO | main | ...Leyendo el archivo...'
'21-10-2022 14:36:37 INFO | main | ...Archivo procesado...'
'21-10-2022 14:37:51 INFO | main | ...Leyendo el archivo...'
'21-10-2022 14:37:51 INFO | main | ...Archivo procesado...'
'21-10-2022 14:38:17 INFO | main | ...Leyendo el archivo...'
'21-10-2022 14:38:17 INFO | main | ...Archivo procesado...'
'21-10-2022 14:38:39 INFO | main | ...Leyendo el archivo...'
'21-10-2022 14:38:39 INFO | main | ...Archivo procesado...'
'21-10-2022 14:39:09 INFO | main | ...Leyendo el archivo...'
'21-10-2022 14:39:09 INFO | main | ...Archivo procesado...'
'21-10-2022 14:40:13 INFO | main | ...Leyendo el archivo...'
'21-10-2022 14:40:13 INFO | main | ...Archivo procesado...'
'21-10-2022 14:40:23 INFO | main | ...Leyendo el archivo...'
'21-10-2022 14:40:23 INFO | main | ...Archivo procesado...'
'21-10-2022 14:42:29 INFO | main | ...Leyendo el archivo...'
'21-10-2022 14:42:29 INFO | main | ...Archivo procesado...'
'21-10-2022 14:43:16 INFO | main | ...Leyendo el archivo...'
'21-10-2022 14:43:16 INFO | main | ...Archivo procesado...'
'21-10-2022 14:43:19 INFO | main | ...Leyendo el archivo...'
'21-10-2022 14:43:19 INFO | main | ...Archivo procesado...'
'21-10-2022 14:43:58 CRITICAL | main | ...No se puede abrir el archivo'
'21-10-2022 14:43:58 INFO | main | ...Archivo procesado...'
'21-10-2022 14:46:02 INFO | main | ...Leyendo el archivo...'
'21-10-2022 14:46:02 INFO | main | ...Archivo procesado...'
'21-10-2022 14:46:15 INFO | main | ...Leyendo el archivo...'
'21-10-2022 14:46:15 INFO | main | ...Archivo procesado...'
'21-10-2022 14:46:36 CRITICAL | main | ...No se puede abrir el archivo'
'21-10-2022 14:46:36 INFO | main | ...Archivo procesado...'
'21-10-2022 15:17:59 INFO | main | ...Leyendo el archivo...'
'21-10-2022 15:17:59 INFO | main | ...Archivo procesado...'
