'28-10-2022 14:06:28 INFO | functions | avión'
'28-10-2022 14:12:18 INFO | functions | avión'
'28-10-2022 14:12:22 INFO | functions | ómnibus'
'28-10-2022 14:12:25 INFO | functions | bicicleta'
'28-10-2022 14:12:28 INFO | functions | ómnibus'
'28-10-2022 14:20:37 INFO | functions | avión'
'28-10-2022 14:20:41 INFO | functions | bicicleta'
'28-10-2022 14:26:38 INFO | functions | avión'
'28-10-2022 14:26:48 INFO | functions | ómnibus'
'28-10-2022 14:28:11 INFO | functions | avión'
'28-10-2022 14:36:10 INFO | functions | avión'
'28-10-2022 14:37:30 INFO | functions | avión'
'28-10-2022 14:37:47 INFO | functions | avión'
'28-10-2022 14:37:56 INFO | functions | ómnibus'
'28-10-2022 14:56:48 INFO | functions | avión'
'28-10-2022 14:56:52 INFO | functions | avión'
'28-10-2022 15:08:34 INFO | functions | avión'
'28-10-2022 15:08:45 INFO | functions | avión'
'28-10-2022 15:17:08 INFO | functions | avión'
'28-10-2022 15:21:24 INFO | functions | ómnibus'
'28-10-2022 15:22:30 INFO | functions | avión'
'28-10-2022 15:22:50 INFO | functions | avión'
'28-10-2022 15:34:35 INFO | functions | avión'
